"Ano/mês processamento";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"Outubro/2021";182;1231;3513;2516;395;7837
"Novembro/2021";154;1107;3621;2614;418;7914
"Dezembro/2021";197;1175;3758;2382;447;7959
"Janeiro/2022";173;1127;3481;2383;461;7625
"Fevereiro/2022";170;1057;3402;2292;422;7343
"Março/2022";200;1199;3763;2802;479;8443
"Abril/2022";159;1136;3541;2537;417;7790
"Maio/2022";166;1184;3793;2852;472;8467
"Junho/2022";173;1035;3643;2716;466;8033
"Julho/2022";194;1147;3813;2693;488;8335
"Agosto/2022";217;1166;3827;2558;535;8303
"Setembro/2022";186;1076;3860;2656;592;8370
"Outubro/2022";159;1073;3736;2681;490;8139
"Novembro/2022";185;1138;3703;2850;498;8374
"Dezembro/2022";191;1182;3751;2717;480;8321
"Janeiro/2023";163;1226;3851;2837;561;8638
"Fevereiro/2023";184;1049;3423;2543;545;7744
"Março/2023";223;1234;4039;2684;679;8859
"Abril/2023";212;1182;3604;2758;557;8313
"Maio/2023";285;1235;3827;2771;581;8699
"Junho/2023";211;1277;3995;2900;564;8947
"Julho/2023";210;1336;4174;2729;529;8978
"Agosto/2023";220;1317;4158;3009;654;9358
"Setembro/2023";206;1355;4121;2990;583;9255
"Outubro/2023";176;1336;4117;2901;491;9021
"Novembro/2023";210;1242;4008;2790;582;8832
"Dezembro/2023";180;1305;4030;2581;618;8714
"Janeiro/2024";199;1368;4122;2914;617;9220
"Fevereiro/2024";225;1225;4182;2824;548;9004
"Março/2024";198;1252;4483;2836;616;9385
"Abril/2024";197;1256;4225;2741;662;9081
"Maio/2024";219;1312;4441;2874;626;9472
"Junho/2024";236;1350;4363;2822;562;9333
"Julho/2024";256;1427;4207;3097;633;9620
"Agosto/2024";267;1416;4347;3202;652;9884
"Setembro/2024";199;1418;4218;3272;654;9761
