"Ano/mês processamento";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"0 Ignorado/Exterior";"Total"
"Agosto/2017";571;3250;14962;4973;2301;0;26057
"Setembro/2017";486;3583;13392;5000;2505;0;24966
"Outubro/2017";469;2987;14534;4764;1614;0;24368
"Novembro/2017";477;2988;14207;4825;1325;0;23822
"Dezembro/2017";452;2420;13395;4250;1075;0;21592
"Janeiro/2018";658;2600;14231;4343;1159;0;22991
"Fevereiro/2018";445;2760;13330;4006;1172;0;21713
"Março/2018";439;3018;15547;4634;1673;0;25311
"Abril/2018";413;3109;14689;5004;1702;0;24917
"Maio/2018";478;3360;15706;5515;1875;0;26934
"Junho/2018";477;3172;14602;4929;2187;0;25367
"Julho/2018";486;3291;15048;5016;2281;0;26122
"Agosto/2018";501;3903;17109;5352;2344;0;29209
"Setembro/2018";510;3287;15585;5072;1815;0;26269
"Outubro/2018";477;3511;17024;5922;2265;0;29199
"Novembro/2018";420;3712;15152;4954;1970;0;26208
"Dezembro/2018";479;3155;15093;4654;2008;0;25389
"Janeiro/2019";455;3312;13743;4865;2021;0;24396
"Fevereiro/2019";587;3587;15878;5205;2132;0;27389
"Março/2019";583;3796;15058;5431;1732;0;26600
"Abril/2019";753;3769;16664;5992;2004;0;29182
"Maio/2019";938;4302;16869;6216;1955;0;30280
"Junho/2019";745;3607;16465;5328;1881;0;28026
"Julho/2019";559;4406;17228;6284;2234;0;30711
"Agosto/2019";629;4209;18277;6651;1997;0;31763
"Setembro/2019";619;4253;17846;6816;2068;0;31602
"Outubro/2019";500;4032;17905;6306;2198;0;30941
"Novembro/2019";512;4055;16760;6443;1862;0;29632
"Dezembro/2019";506;3434;15646;5277;1713;0;26576
"Janeiro/2020";536;3730;15840;5342;2285;0;27733
"Fevereiro/2020";578;3519;16502;5600;2179;0;28378
"Março/2020";511;2963;12377;4753;1565;0;22169
"Abril/2020";275;424;4387;1875;499;0;7460
"Maio/2020";192;479;6145;2680;679;0;10175
"Junho/2020";187;569;7548;3951;843;0;13098
"Julho/2020";330;1231;9913;4060;889;0;16423
"Agosto/2020";397;2128;11729;4210;1225;0;19689
"Setembro/2020";435;2453;13642;4852;1245;0;22627
"Outubro/2020";520;2920;14645;5326;1279;0;24690
"Novembro/2020";483;3133;14550;5486;1593;0;25245
"Dezembro/2020";432;2702;13781;5396;1331;0;23642
"Janeiro/2021";476;2457;12519;5023;1250;0;21725
"Fevereiro/2021";462;2640;13795;5224;1251;0;23372
"Março/2021";394;2811;11421;4603;1703;0;20932
"Abril/2021";242;2547;11090;4265;1594;0;19738
"Maio/2021";464;2709;11493;5221;1467;0;21354
"Junho/2021";431;3096;12029;4981;1632;0;22169
"Julho/2021";559;3448;14393;5646;1865;0;25911
"Agosto/2021";508;4060;16858;6129;1779;0;29334
"Setembro/2021";498;3969;18213;6005;1728;0;30413
"Outubro/2021";453;3831;18430;6153;1829;0;30696
"Novembro/2021";508;4054;18116;6044;1827;0;30549
"Dezembro/2021";492;3269;17432;5779;1592;0;28564
"Janeiro/2022";489;3527;15239;5423;1574;0;26252
"Fevereiro/2022";661;4191;17946;5716;1812;0;30326
"Março/2022";681;4667;20531;6194;2112;0;34185
"Abril/2022";630;4151;19010;6471;1900;0;32162
"Maio/2022";788;4607;21416;6746;2546;0;36103
"Junho/2022";604;4241;18428;6836;2338;0;32447
"Julho/2022";718;4421;20900;6573;2332;0;34944
"Agosto/2022";1001;5278;23285;7664;3210;0;40438
"Setembro/2022";942;5061;21438;7328;2711;0;37480
"Outubro/2022";849;4625;20588;7473;2493;0;36028
"Novembro/2022";1227;4574;19479;7544;2638;0;35462
"Dezembro/2022";858;3924;19940;6808;2230;0;33760
"Janeiro/2023";1050;4180;20583;7203;2854;0;35870
"Fevereiro/2023";1043;4265;20093;7053;2622;0;35076
"Março/2023";1219;5841;24778;8734;3335;0;43907
"Abril/2023";1049;4665;22750;7626;2403;0;38493
"Maio/2023";1636;5467;26372;8042;3188;0;44705
"Junho/2023";1525;5602;23300;8251;3565;0;42243
"Julho/2023";1347;5550;24074;8009;2980;0;41960
"Agosto/2023";1405;5922;27002;9385;3229;0;46943
"Setembro/2023";1295;5671;24961;8305;2825;0;43057
"Outubro/2023";1426;5689;25380;8928;3296;0;44719
"Novembro/2023";1224;5412;24507;8586;2830;0;42559
"Dezembro/2023";1086;4865;24062;7147;2974;0;40134
"Janeiro/2024";1279;4932;25903;7722;3039;0;42875
"Fevereiro/2024";1350;4626;25277;8011;2767;0;42031
"Março/2024";1454;5502;28919;8361;3536;0;47772
"Abril/2024";1460;5977;29553;9176;3478;0;49644
"Maio/2024";1556;6259;28158;7883;3080;0;46936
"Junho/2024";1518;5498;29875;8751;3409;0;49051
"Julho/2024";1328;6456;29214;10530;3707;0;51235
"Agosto/2024";1588;6013;31774;10556;3671;0;53602
"Setembro/2024";1219;5678;27967;9997;3118;0;47979
